1,851
2,726
3,803
4,757
5,810
6,702
7,747
8,791
9,772
10,860
11,796
12,861
13,817
14,759
15,848
16,845
17,831
18,757
19,807
20,838
21,820
22,825
23,801
24,934
25,882
26,914
27,841
28,856
29,803
30,770
31,846
32,826
33,897
34,894
35,878
36,959
37,925
38,882
39,938
40,854
41,895
42,830
43,802
44,857
45,905
46,910
47,841
48,940
49,931
50,882
51,958
52,900
53,826
54,805
55,755
56,939
57,920
58,903
59,916
60,948
61,1051
62,855
63,948
64,935
65,904
66,869
67,856
68,917
69,902
70,995
71,925
72,1054
73,942
74,930
75,929
76,920
77,930
78,881
79,928
80,912
81,964
82,1049
83,1017
84,1053
85,1060
86,967
87,1058
88,923
89,1034
90,934
91,940
92,1072
93,1141
94,1213
95,1065
96,1114
97,1082
98,958
99,1134
100,1072
101,1046
102,974
103,1029
104,1040
105,1086
106,1095
107,1095
108,1153
109,1118
110,1032
111,1225
112,1124
113,1149
114,1057
115,1089
116,1107
117,1176
118,1136
119,1152
120,1189
